sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
H4600029,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen
H4600030,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen
H4600031,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen
H4600032,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen
H4600033,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen
H4600034,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen,mochila-escolar-con-rayas.jpg,mochila-escolar-con-rayas imagen
H4530315,coche-todoterreno-hummer-h3-en-miniatura.jpg,coche-todoterreno-hummer-h3-en-miniatura imagen,coche-todoterreno-hummer-h3-en-miniatura.jpg,coche-todoterreno-hummer-h3-en-miniatura imagen,coche-todoterreno-hummer-h3-en-miniatura.jpg,coche-todoterreno-hummer-h3-en-miniatura imagen
H4502056,taza-star-wars-rebels.jpg,taza-star-wars-rebels imagen,taza-star-wars-rebels.jpg,taza-star-wars-rebels imagen,taza-star-wars-rebels.jpg,taza-star-wars-rebels imagen
H4502057,vaso-star-wars-rebels.jpg,vaso-star-wars-rebels imagen,vaso-star-wars-rebels.jpg,vaso-star-wars-rebels imagen,vaso-star-wars-rebels.jpg,vaso-star-wars-rebels imagen
H4520150,patinete-frozen-3-ruedas.jpg,patinete-frozen-3-ruedas imagen,patinete-frozen-3-ruedas.jpg,patinete-frozen-3-ruedas imagen,patinete-frozen-3-ruedas.jpg,patinete-frozen-3-ruedas imagen
H4530316,gomitas-para-hacer-pulseras-con-abalorios-frozen.jpg,gomitas-para-hacer-pulseras-con-abalorios-frozen imagen,gomitas-para-hacer-pulseras-con-abalorios-frozen.jpg,gomitas-para-hacer-pulseras-con-abalorios-frozen imagen,gomitas-para-hacer-pulseras-con-abalorios-frozen.jpg,gomitas-para-hacer-pulseras-con-abalorios-frozen imagen
H4530318,juego-de-paleontologia-para-ninos.jpg,juego-de-paleontologia-para-ninos imagen,juego-de-paleontologia-para-ninos.jpg,juego-de-paleontologia-para-ninos imagen,juego-de-paleontologia-para-ninos.jpg,juego-de-paleontologia-para-ninos imagen
